Id,Label,Level,Seed,In-Degree,Out-Degree,Degree,Modularity Class,modularity edit,Modularity size,Modularity label,Color,Colornodes
taxiforsure,TaxiForSure,-1,false,0,1,1,3,3,1,Taxi for sure,#D83683,
artificial intelligence and law,Artificial intelligence and law,1,false,6,3,9,6,6,1,Civic technology,#D8AF35,
legal informatics,Legal informatics,0,false,1,1,2,6,6,1,Civic technology,#D8AF35,
computational law,Computational law,0,false,1,1,2,6,6,1,Civic technology,#D8AF35,
legal expert systems,Legal expert systems,2,false,1,0,1,6,6,1,Civic technology,#D8AF35,
jurisprudence,Jurisprudence,0,false,0,1,1,6,6,1,Civic technology,#D8AF35,
jurix,JURIX,0,false,0,1,1,6,6,1,Civic technology,#D8AF35,
legal expert system,Legal expert system,0,false,0,1,1,6,6,1,Civic technology,#D8AF35,
access (economics),Access (economics),1,false,1,5,6,20,20,1,Access economy,#A4D836,
"the information age: economy, society and culture","The Information Age: Economy, Society and Culture",2,false,1,0,1,20,20,1,Access economy,#A4D836,
manuel castells,Manuel Castells,2,false,1,0,1,20,20,1,Access economy,#A4D836,
mark kobayashi-hillary,Mark Kobayashi-Hillary,2,false,1,0,1,20,20,1,Access economy,#A4D836,
the wealth of networks,The Wealth of Networks,2,false,1,0,1,20,20,1,Access economy,#A4D836,
yochai benkler,Yochai Benkler,2,false,1,0,1,20,20,1,Access economy,#A4D836,
carsharing,Carsharing,-1,false,0,1,1,20,20,1,Access economy,#A4D836,
zipcar,Zipcar,-1,false,0,1,1,20,20,1,Access economy,#A4D836,
sharing economy,Sharing economy,-1,true,38,23,61,19,99,100,Query,#36D8B4,
uber (company),Uber (company),-1,true,4,3,7,2,99,100,Query,#36D8B4,
airbnb,Airbnb,-1,true,8,1,9,2,99,100,Query,#36D8B4,
online platforms for collaborative consumption,Online platforms for collaborative consumption,0,true,6,0,6,2,99,100,Query,#36D8B4,
grabtaxi,GrabTaxi,0,true,0,0,0,0,99,100,Query,#36D8B4,
reputation system,Reputation system,-1,true,11,12,23,19,99,100,Query,#36D8B4,
access economy,Access economy,0,true,3,1,4,20,99,100,Query,#36D8B4,
anti-consumerism,Anti-consumerism,-1,true,9,32,41,15,99,100,Query,#36D8B4,
new economy,New economy,0,true,2,5,7,8,99,100,Query,#36D8B4,
independent contractor,Independent contractor,0,true,12,19,31,7,99,100,Query,#36D8B4,
