"","frequency.1.500."
"uber",6506
"drivers",1917
"will",1630
"2015",1522
"new",1494
"taxi",1214
"2014",1121
"driver",1104
"service",1038
"can",1036
"like",1027
"app",1019
"car",1004
"get",957
"report",873
"company",867
"just",864
"posted",847
"news",816
"ride",798
"business",787
"one",778
"time",706
"cars",697
"utc",689
"abusive",686
"people",680
"city",674
"also",672
"now",656
"may",627
"use",567
"make",543
"ago",539
"retrieved",534
"<d0>",531
"google",519
"first",515
"months",506
"email",500
"see",490
"said",486
"companies",483
"free",475
"comments",458
"november",453
"services",449
"home",440
"lyft",438
"even",429
"post",429
"tech",423
"it<d5>s",419
"share",413
"facebook",410
"cab",403
"way",399
"feb",398
"need",397
"transportation",387
"take",385
"december",384
"cities",381
"uber<d5>s",380
"work",377
"much",376
"says",376
"want",374
"know",373
"help",366
"technology",366
"think",361
"twitter",356
"<d1>",355
"around",354
"san",348
"rides",341
"york",340
"good",339
"site",332
"world",330
"year",330
"day",329
"uberx",328
"blog",327
"sign",327
"september",324
"video",324
"well",324
"follow",320
"great",319
"policy",319
"apps",315
"back",311
"don<d5>t",311
"media",308
"driving",306
"times",305
"public",303
"next",301
"mar",300
"really",300
"taxis",300
"best",299
"going",297
"money",297
"information",296
"mobile",293
"drive",288
"many",286
"ubers",285
"black",284
"pricing",279
"2013",278
"years",278
"using",277
"search",276
"insurance",273
"things",272
"right",270
"say",270
"today",270
"august",269
"pay",269
"week",268
"points",267
"market",266
"ridesharing",266
"two",266
"last",264
"users",264
"customers",263
"code",262
"october",262
"privacy",261
"top",259
"hours",256
"find",255
"jobs",254
"data",253
"surge",253
"made",250
"contact",249
"june",249
"thanks",249
"passengers",247
"billion",242
"million",242
"website",242
"subscribe",239
"francisco",236
"web",236
"support",235
"2012",234
"account",234
"kalanick",231
"riders",231
"every",230
"you<d5>re",230
"lot",229
"vehicles",228
"local",227
"social",226
"apple",225
"fare",225
"july",225
"number",225
"please",223
"still",223
"events",219
"better",216
"read",216
"android",214
"reply",214
"another",212
"latest",211
"look",211
"van",211
"march",210
"might",210
"posts",210
"daily",208
"job",208
"legal",207
"january",206
"content",205
"demand",204
"used",204
"part",202
"real",202
"making",201
"private",201
"live",200
"already",198
"terms",198
"i<d5>m",197
"industry",197
"per",197
"stories",197
"california",196
"since",196
"less",195
"available",194
"state",194
"article",193
"come",193
"credit",193
"watch",193
"getting",192
"big",190
"price",190
"nov",188
"vehicle",188
"network",187
"sharing",187
"startup",187
"never",186
"safety",186
"government",185
"minutes",185
"online",185
"promo",182
"inc",181
"phone",181
"popular",180
"customer",179
"passenger",179
"point",179
"give",177
"got",175
"law",175
"view",173
"check",172
"comment",172
"love",172
"open",172
"story",172
"case",171
"cost",171
"sure",170
"without",170
"personal",169
"february",168
"future",168
"street",168
"autonomous",167
"2011",165
"life",165
"security",165
"actually",162
"videos",162
"rights",161
"working",161
"economy",160
"prices",160
"experience",158
"makes",158
"told",158
"features",157
"call",156
"system",156
"travel",156
"paris",155
"long",154
"startups",154
"across",153
"ever",153
"that<d5>s",153
"far",152
"according",151
"keep",151
"little",151
"called",150
"center",150
"info",149
"model",149
"something",149
"court",148
"washington",148
"access",147
"travis",147
"recensie",146
"categories",145
"ceo",145
"high",145
"regulations",144
"transport",144
"address",143
"community",143
"easy",143
"log",143
"provide",143
"trip",143
"end",142
"health",142
"change",141
"techcrunch",141
"april",140
"deal",140
"doesn<d5>t",140
"become",139
"cabs",139
"digital",139
"marketing",139
"permalinksaveparentreportgive",139
"days",138
"order",138
"place",138
"put",138
"fares",137
"program",137
"rate",137
"yet",137
"india",136
"tweet",136
"delivered",135
"journal",135
"looking",135
"must",135
"supply",135
"team",135
"<a9>",134
"different",134
"enter",134
"internet",134
"gets",133
"headlines",133
"taking",133
"though",133
"growth",132
"impact",132
"sports",132
"hour",131
"month",131
"politics",131
"request",131
"launched",130
"menu",130
"road",130
"select",130
"thing",130
"via",130
"however",129
"markets",129
"bad",128
"linkedin",128
"review",128
"away",127
"technologies",127
"we<d5>re",127
"whether",127
"women",127
"articles",126
"food",126
"including",126
"traffic",126
"try",126
"trying",126
"volledige",126
"weekly",126
"boston",125
"cash",125
"commission",125
"dont",125
"three",125
"user",125
"een",124
"name",124
"science",124
"global",123
"music",123
"reviews",123
"careers",122
"show",122
"<c9>",121
"thank",121
"133",120
"airport",120
"always",120
"close",120
"current",120
"operating",120
"found",119
"hard",119
"important",119
"night",119
"reserved",119
"understand",119
"bloomberg",118
"launch",118
"let",118
"partners",118
"rss",118
"start",118
"within",118
"design",117
"fact",117
"means",117
"added",116
"delivery",116
"friday",116
"small",116
"they<d5>re",116
"worth",116
"nice",115
"card",114
"friends",114
"full",114
"iphone",114
"option",114
"recent",114
"able",113
"add",113
"create",113
"page",113
"research",113
"set",113
"announced",112
"competition",112
"needs",112
"pick",112
"rating",112
"rules",112
"coming",111
"innovation",111
"safe",111
"takes",111
"youtube",111
"major",110
"protest",110
"send",110
"area",109
"later",109
"partnership",109
"past",109
"police",109
"store",109
"launches",108
"learn",108
"problem",108
"seattle",108
"chicago",107
"europe",107
"lawsuit",107
"location",107
"started",107
"took",107
"existing",106
"general",106
"rates",106
"stop",106
"advertise",105
"education",105
"het",105
"offer",105
"reliable",105
"simply",105
"tell",105
"tip",105
"wait",105
"starting",104
"duur",103
"link",103
"enough",102
"idea",102
"least",102
"power",102
"instead",101
"interesting",101
"partner",101
"download",100
"group",100
"matter",100
"side",100
"weergaven",100
"done",99
"entertainment",99
"south",99
"states",99
"wall",99
"ways",99
"arts",98
"continue",98
"issue",98
"platform",98
"play",98
"statement",98
"bill",97
"buy",97
"connect",97
"independent",97
"instagram",97
"required",97
"town",97
"<e1>",96
"auto",96
"featured",96
"percent",96
"anything",95
"employees",95
