ORDER;TITLE;ORIGIN;ORIGIN 2;DESTINATION;COUNTRY DIRECTOR;COUNTRY PRODUCTION
1;The Emigrants;Sweden;;United States;Sweden;Sweden
2;A Better Life;Messico;;United States;United States;United States
3;America America;Turky;;United States;Elias Kazancioglu;United States
4;Crossing Over;Worldwide;;United States;South Africa;United States
5;Gangs of New York;Ireland;;United States;United States;United States,Italy
6;Golden Door;Italy;United Kingdom;United States;Italy;Italy,France
7;The Immigrant;Poland;;United States;United States;United States
8;The Visitor;West Africa;West Asia;United States;United States;United States
9;Amreeka;Palestin;;United States;United States;United States,United Arab Emirates,Canada ,Kuwait,Jordan
10;Dirty Pretty Things;Nigeria;;United Kindom;United Kindom;United Kindom
11;House of Sand and Fog;Iran;;United States;Ukrainian SSR,[now Ukraine];United States
12;The Border;??;;Canada;;Canada
13;The Godfather: Part II;Italy;;United States;United States;United States
14;...And the Pursuit of Happiness;Africa;Asia;United States;France;United States
15;An American Tail;Russia;;United States;United States;United States
16;Avalon;Poland;;;United States;United States
17;Bend It Like Beckham;India;;United Kindom;Kenya;German,United Kindom,United States
18;Dancer in the Dark;Europe;;United States;Denmark;Denmark, Argentina, Finland, France, Germany, Iceland, Netherlands, Norway,   Spain, Sweden,United Kingdom,  United States
20;Fast Food Nation;Mexico;;United States;United States;United Kindom,United States
21;Green Card;France;;United States;Australia;France,Australia,United States
22;Heaven's Gate;Europe;;United States;United States;United States
23;Immigrants;Israel;;United States;Israel;Israel
24;In America;Ireland;;United States;Ireland;Ireland,Unnited Kindom
25;Sin Nombre;Mexico;;United States;United States;Mexico,United States
26;Terraferma;Europe;;Italy;Italy;Italy,France
27;The Glass Wall;Hungary;;United States;United States;United States
28;The Other Side of Immigration;Mexico;;United States;United States;United States
29;The Perez Family;Cuba;;United States;India;United States
30;Ali: Fear Eats the Soul;Marocco;;Germany;Germany;Italy
31;An American Rhapsody;Hungary;;United States;Hungary;Spain
32;Babel;Worldwide;;Worldwide;Mexico;United States
33;Black Hand;Italy;;United States;United States;United States
34;Bread and Roses;Mexico;;United States;United Kindom;United Kindom
35;El Norte;Guatemala;;United States;United States;United Kindom
36;Est - Ouest;Russia;;France;France;France
37;Flores de Otro Mundo;Dominican republic;;Spain;Spain;Spain
38;Frontera;Mexico;;United States;Mexico;United States
39;Ghosts;China;;United Kindom;United Kindom;United Kindom
40;Goodbye, Miss 4th of July;Greece;;United States;United Kindom;United States
41;Illegal;Russia;;Belgium;Belgium;Belgium
42;L'ange de goudron;Algeria ;;Canada;Canada;Canada
43;Las cartas de Alou;Senegal;;Spain;Spain;Spain
44;Moscow on the Hudson;Russia;;United States;United States;United States
45;Spanglish;Mexico;;United States;United Kindom;United States
46;The Harvest/La Cosecha;Latin America;;United States;United States;United States
47;The Italian;Italy;;United States;Canada;United States
48;The Namesake;India;;United States;India;India
49;The New Land;Sweden;;United States;Sweden;Sweden
50;The Swissmakers;Italy;;Switzerland;Switzerland;Switzerland
51;Under the Same Moon;Mexico;;United States;Mexico;Mexico
52;...And the Earth Did Not Swallow Him;Mexico;;United States;Mexico;United States
53;A Day Without a Mexican;Mexico;;United States;Mexico;Mexico
54;Across the Sea of Time;Russia;;United States;Canada ;United States
55;Almost a Woman;United States;;Puerto Rico;United States;United States
56;Amanecer;Colombia;;Australia;Colombia;Colombia
57;American Harvest;Mexico;;United States;United States;United States
58;Anchor Baby;Nigeria;;United States;Nigeria;Canada
59;Angela's Ashes;Ireland;;United States;United Kindom;United States
60;Annie Was a Wonder;Sweden;;USA;USA;USA
61;Beautiful People;Yugoslavia;;England;British-Bosnian;United Kindom
62;Beyond Our Dreams;Kurdistan;;Europe;Kurdistan;France
63;Biutiful;China;Africa;Spain;Mexico;Mexico
64;Black Legion;Poland;;USA;USA;USA
65;Bolivia;Bolivia;;Argentina;Uruguay;Argentina
66;The Border (Border Cop);Mexico;;USA;USA;United Kindom
67;Border Incident;Mexico;;USA;USA;USA
68;Bread and Chocolate;Italy;;Switzerland;Italy;Italy
69;Brick Lane;Bangladesh;;United Kindom;United Kindom;United Kindom
70;Bride Flight;Netherlands;;New Zealand;Netherlands;Netherlands
71;Broken English;Croatia;;New Zealand;New Zealand;New Zealand
72;Brooklyn;Ireland;;USA;Ireland;Ireland
73;Citizen USA: A 50 State Road Trip;Woldwide;;USA;USA;USA
74;Ellis Island;;;USA;Germany;USA
75;Espaldas mojadas;Mexico;;USA;Mexico;Mexico
76;La prima neve (First Snowfall);Togo;;Italy;Italy;Italy
77;From the Edge of the City;Balkans;;Greece;Greece;Greece
78;From the Other Side;Mexico;;USA;Belgium;France
79;Frozen River;Canada;Mohawk reservation;USA;USA;USA
80;Gaijin - Os Caminhos da Liberdade (Gaijin: Roads to Freedom);Japan;;Brazil;Brazil;Brazil
81;Ospiti (Guests);Albania;;Italy ;Italy;Italy
82;Head-On;Turkey;;Germany;Germany;Germany
