NODE;ID;LABEL;CLASS;WEIGHT
abuse;abuse;abuse;ABUSE;2
attempted rape;attempted rape;attempted rape;ABUSE;2
child abuse;child abuse;child abuse;ABUSE;2
harassment;harassment;harassment;ABUSE;2
incest;incest;incest;ABUSE;2
incestuous desire;incestuous desire;incestuous desire;ABUSE;2
mistress;mistress;mistress;ABUSE;2
sexual abuse;sexual abuse;sexual abuse;ABUSE;2
strip club;strip club;strip club;ABUSE;2
hooker;hooker;hooker;ABUSE;3
pimp;pimp;pimp;ABUSE;4
brothel;brothel;brothel;ABUSE;6
prostitution;prostitution;prostitution;ABUSE;10
prostitute;prostitute;prostitute;ABUSE;14
cartel;cartel;cartel;ADDICTION;2
cigarette lighter;cigarette lighter;cigarette lighter;ADDICTION;2
drug abuse;drug abuse;drug abuse;ADDICTION;2
drug dealing;drug dealing;drug dealing;ADDICTION;2
drug lord;drug lord;drug lord;ADDICTION;2
drunk driving;drunk driving;drunk driving;ADDICTION;2
hangover;hangover;hangover;ADDICTION;2
hashish;hashish;hashish;ADDICTION;2
heroin;heroin;heroin;ADDICTION;2
hookah;hookah;hookah;ADDICTION;2
liquor store;liquor store;liquor store;ADDICTION;2
opium;opium;opium;ADDICTION;2
smoke;smoke;smoke;ADDICTION;2
stoned;stoned;stoned;ADDICTION;2
syringe;syringe;syringe;ADDICTION;2
underage drinking;underage drinking;underage drinking;ADDICTION;2
vodka;vodka;vodka;ADDICTION;2
drug addiction;drug addiction;drug addiction;ADDICTION;3
hallucination;hallucination;hallucination;ADDICTION;3
junkie;junkie;junkie;ADDICTION;3
pipe smoking;pipe smoking;pipe smoking;ADDICTION;3
whiskey;whiskey;whiskey;ADDICTION;3
alcoholic;alcoholic;alcoholic;ADDICTION;4
beer;beer;beer;ADDICTION;4
drug addict;drug addict;drug addict;ADDICTION;4
drug overdose;drug overdose;drug overdose;ADDICTION;4
snorting cocaine;snorting cocaine;snorting cocaine;ADDICTION;4
cigar smoking;cigar smoking;cigar smoking;ADDICTION;5
cocaine;cocaine;cocaine;ADDICTION;5
marijuana;marijuana;marijuana;ADDICTION;5
drug dealer;drug dealer;drug dealer;ADDICTION;6
pills;pills;pills;ADDICTION;6
drugs;drugs;drugs;ADDICTION;7
wine;wine;wine;ADDICTION;8
drug use;drug use;drug use;ADDICTION;9
drunkenness;drunkenness;drunkenness;ADDICTION;13
drink;drink;drink;ADDICTION;17
drinking;drinking;drinking;ADDICTION;23
cigarette smoking;cigarette smoking;cigarette smoking;ADDICTION;26
accordion;accordion;accordion;ARTS;2
amphitheater;amphitheater;amphitheater;ARTS;2
artist;artist;artist;ARTS;2
aspiring actress;aspiring actress;aspiring actress;ARTS;2
audition;audition;audition;ARTS;2
busker;busker;busker;ARTS;2
con artist;con artist;con artist;ARTS;2
d.j.;d.j.;d.j.;ARTS;2
grand opening;grand opening;grand opening;ARTS;2
guitar;guitar;guitar;ARTS;2
jazz music;jazz music;jazz music;ARTS;2
jitterbug;jitterbug;jitterbug;ARTS;2
mariachi band;mariachi band;mariachi band;ARTS;2
orchestra;orchestra;orchestra;ARTS;2
painter;painter;painter;ARTS;2
painting;painting;painting;ARTS;2
pole dancer;pole dancer;pole dancer;ARTS;2
rap music;rap music;rap music;ARTS;2
rehearsal;rehearsal;rehearsal;ARTS;2
rock 'n' roll;rock 'n' roll;rock 'n' roll;ARTS;2
spontaneous choreography;spontaneous choreography;spontaneous choreography;ARTS;2
stage play;stage play;stage play;ARTS;2
street musician;street musician;street musician;ARTS;2
swing;swing;swing;ARTS;2
dance club;dance club;dance club;ARTS;3
drum;drum;drum;ARTS;3
humming;humming;humming;ARTS;3
pianist;pianist;pianist;ARTS;3
piano player;piano player;piano player;ARTS;3
surrealism;surrealism;surrealism;ARTS;3
tenor;tenor;tenor;ARTS;3
theater;theater;theater;ARTS;3
theatre;theatre;theatre;ARTS;3
theatre audience;theatre audience;theatre audience;ARTS;3
listening to music;listening to music;listening to music;ARTS;4
movie theater;movie theater;movie theater;ARTS;4
saxophone;saxophone;saxophone;ARTS;4
violin;violin;violin;ARTS;4
drummer;drummer;drummer;ARTS;5
dance;dance;dance;ARTS;6
disco;disco;disco;ARTS;6
musician;musician;musician;ARTS;6
piano;piano;piano;ARTS;7
band;band;band;ARTS;8
song;song;song;ARTS;17
dancer;dancer;dancer;ARTS;19
singer;singer;singer;ARTS;22
singing;singing;singing;ARTS;25
dancing;dancing;dancing;ARTS;33
armed robbery;armed robbery;armed robbery;CRIMINALITY;2
breaking and entering;breaking and entering;breaking and entering;CRIMINALITY;2
climbing through a window;climbing through a window;climbing through a window;CRIMINALITY;2
cosa nostra;cosa nostra;cosa nostra;CRIMINALITY;2
crime epic;crime epic;crime epic;CRIMINALITY;2
detainee;detainee;detainee;CRIMINALITY;2
extortion;extortion;extortion;CRIMINALITY;2
fake id;fake id;fake id;CRIMINALITY;2
fraud;fraud;fraud;CRIMINALITY;2
gang member;gang member;gang member;CRIMINALITY;2
gang violence;gang violence;gang violence;CRIMINALITY;2
godfather;godfather;godfather;CRIMINALITY;2
illegal worker;illegal worker;illegal worker;CRIMINALITY;2
informer;informer;informer;CRIMINALITY;2
jail visitation;jail visitation;jail visitation;CRIMINALITY;2
masked man;masked man;masked man;CRIMINALITY;2
outlaw;outlaw;outlaw;CRIMINALITY;2
peddler;peddler;peddler;CRIMINALITY;2
protection racket;protection racket;protection racket;CRIMINALITY;2
release from prison;release from prison;release from prison;CRIMINALITY;2
shipping crate;shipping crate;shipping crate;CRIMINALITY;2
terrorist;terrorist;terrorist;CRIMINALITY;2
women's prison;women's prison;women's prison;CRIMINALITY;2
crime boss;crime boss;crime boss;CRIMINALITY;3
fugitive;fugitive;fugitive;CRIMINALITY;3
gang leader;gang leader;gang leader;CRIMINALITY;3
gang warfare;gang warfare;gang warfare;CRIMINALITY;3
human smuggling;human smuggling;human smuggling;CRIMINALITY;3
prisoner;prisoner;prisoner;CRIMINALITY;3
criminal;criminal;criminal;CRIMINALITY;4
kidnapping;kidnapping;kidnapping;CRIMINALITY;4
political corruption;political corruption;political corruption;CRIMINALITY;4
riot;riot;riot;CRIMINALITY;4
terrorism;terrorism;terrorism;CRIMINALITY;4
black market;black market;black market;CRIMINALITY;5
mafia;mafia;mafia;CRIMINALITY;5
organized crime;organized crime;organized crime;CRIMINALITY;5
stealing;stealing;stealing;CRIMINALITY;5
